simulator,obstacles,agents,timestep,interval,rate,delay_type,map_seed,agent_seed,value,value_lower,value_upper,execution_time,first_agent_arriving,average_timestep_time,average_timestep_time_lower,average_timestep_time_upper
replan,270,20,1,20,0.2,agent,8,0,43.045,39.60221405350167,46.487785946498335,0.3507509,5.3,0.06660934333333333,0.05275912844129306,0.08045955822537361
replan,270,20,1,20,0.2,agent,8,1,44.212500000000006,39.71588665219443,48.709113347805584,0.23992,3.0,0.026657777777777777,-0.05817916861820002,0.11149472417375558
replan,270,20,1,20,0.2,agent,8,2,38.53,36.77983482441721,40.280165175582795,0.09935682,9.5,0.010838447545454545,0.00891564745075437,0.01276124764015472
replan,270,20,1,20,0.2,agent,8,3,43.05,39.30633682915254,46.79366317084745,0.24036149999999998,11.3,0.02118474743589744,0.01926381871989441,0.02310567615190047
replan,270,20,1,20,0.2,agent,8,4,42.24,40.276290639552826,44.20370936044718,0.26027690000000003,6.3,0.0444543356060606,0.03296329118695245,0.05594538002516875
replan,270,20,1,20,0.2,agent,8,6,59.544999999999995,54.27519198775432,64.81480801224566,1.2538763,9.4,0.1238238784090909,0.07328090412306106,0.17436685269512076
replan,270,20,1,20,0.2,agent,8,7,41.35,39.158897101993865,43.54110289800614,0.06753089999999999,4.5,0.0052984357142857146,-0.0008121460514299893,0.011409017480001418
replan,270,20,1,20,0.2,agent,8,8,41.95,38.7927798617498,45.107220138250206,0.26509879999999997,9.4,0.027971052380952377,0.019752216568106263,0.036189888193798495
replan,270,20,1,20,0.2,agent,8,9,41.790000000000006,39.25713589749051,44.322864102509506,0.12414166999999998,9.7,0.012728157222222222,0.009152365892254108,0.016303948552190337
replan,270,20,1,20,0.2,agent,9,0,46.235,41.687681152941146,50.78231884705885,0.5280064,10.3,0.051471305454545445,0.046217806390261386,0.056724804518829504
replan,270,20,1,20,0.2,agent,9,2,51.325,47.37002398043492,55.27997601956508,14.655132,13.0,1.1776187482017981,0.6683823150810067,1.6868551813225896
replan,270,20,1,20,0.2,agent,9,4,47.925,42.35367409857268,53.49632590142731,3.7065650000000003,4.8,0.8679784166666666,0.7077121166317877,1.0282447167015456
