simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
default,20,1,10,0.2,agent,68.40102040816326,0.0002524983081632653,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.3,agent,85.57959183673469,2.625373981632653,heuristic,proposed,1.4399458986734692,6.360204081632653,6.355102040816327,41.25204081632653,123.16530612244898,7.728571428571429,0.607109156444462,0.392890843555538,0,0.21944096444147274,0.20812886058919203,0.2195215368938537,180.0
default,20,1,10,0.3,agent,89.27755102040817,0.0002737855051020408,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.1,agent,65.96224489795918,1.9278408047959184,heuristic,proposed,1.1894105468367346,5.285714285714286,5.285714285714286,43.039795918367346,104.46938775510205,5.589795918367347,0.6969247214626006,0.30307527853739935,0,0.21455182467664424,0.21094022589163514,0.21455182467664424,180.0
default,20,1,20,0.1,agent,71.20918367346938,0.00023610875612244895,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.2,agent,81.86020408163266,2.3220122602040814,heuristic,proposed,1.2970682248979593,5.705102040816326,5.705102040816326,41.5969387755102,111.28877551020408,6.540816326530612,0.5826418241083049,0.41735817589169505,0,0.21814584003472834,0.20990801097765682,0.21814584003472834,180.0
default,20,1,20,0.2,agent,89.33265306122449,0.00025103076020408166,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.3,agent,106.3234693877551,2.8433663469387755,heuristic,proposed,1.4418112424489793,6.292857142857143,6.2877551020408164,40.75714285714286,121.69183673469388,7.4918367346938775,0.5088649158550337,0.49113508414496637,0,0.22049357540258158,0.20942718582434575,0.22057585578183328,180.0
default,20,1,20,0.3,agent,117.83979591836734,0.00027355662653061227,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,20,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
